trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.5, 'e': 0.45626345839647037}",20,14,10.728979580023607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.44027648647741346}",20,0,33.49180255148641,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.42484968054675043}",25,0,5.099482434582928,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.40996341300169697}",20,0,32.08987871027634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.39559874396917555}",30,17,22.085808306897892,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.38173739720851996}",20,1,31.18543525980993,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.3683617368585223}",20,15,11.143282021225032,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.35545474499923774}",25,11,28.32117754866549,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.34299999999999992}",30,15,29.266464166692117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.33098165562609738}",20,9,18.87159400298074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.31938442087752922}",25,0,39.35596366314034,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.3081935405341894}",30,11,37.908991448818554,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.29739477638272527}",30,8,36.48377409138644,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.28697438910118783}",25,15,-14.705354262778181,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.27691912077842284}",20,7,19.83416832153911,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.26721617804596398}",25,13,21.906754276270924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
